Date,Open,High,Low,Volume,Close
21-05-2010,117.900002,124.970001,117.519997,7966900,122.720001
24-05-2010,122.57,124.5,120.650002,4535900,122.120003
25-05-2010,118.540001,125.190002,118.5,6913400,124.860001
26-05-2010,125.050003,125.790001,122.300003,6964600,123.209999
27-05-2010,124.980003,126.849998,120.599998,4747700,126.699997
28-05-2010,126.07,127.599998,124.010002,3954800,125.459999
01-06-2010,124.970001,126.57,123.019997,3659500,123.239998
02-06-2010,124.019997,126.43,121.650002,4764700,126.309998
03-06-2010,126.25,129.149994,124.849998,5276900,128.759995
04-06-2010,126.330002,128.199997,122.18,5497700,122.769997
07-06-2010,125.839996,126.610001,121.669998,6566400,122.010002
08-06-2010,122,122,115.800003,11484400,118.839996
09-06-2010,120.309998,121.470001,117.360001,7369200,117.910004
10-06-2010,120,123.5,119.199997,6061800,123.209999
11-06-2010,121.389999,123.529999,120.290001,4204600,123.029999
14-06-2010,124.239998,125.699997,123.5,3923000,123.830002
15-06-2010,123.199997,126.919998,122.5,4541000,126.839996
16-06-2010,125.389999,127.980003,125.360001,3964300,126.900002
17-06-2010,126.739998,127.800003,124.690002,3479000,125.889999
18-06-2010,126.480003,127.480003,125.07,3836000,125.830002
21-06-2010,126.790001,127.480003,121.410004,5327700,122.550003
22-06-2010,122.650002,125.230003,121.550003,6207200,122.309998
23-06-2010,122.110001,123.220001,120.040001,5455100,121.449997
24-06-2010,120.610001,120.849998,116.800003,7771100,118.330002
25-06-2010,118.139999,121.760002,117.629997,5769700,121
28-06-2010,118.849998,120.040001,117.099998,5612200,117.800003
29-06-2010,116.260002,116.480003,106.010002,12866300,108.610001
30-06-2010,108.580002,112.68,108.110001,9740700,109.260002
01-07-2010,108.900002,111.690002,106.699997,8529800,110.959999
02-07-2010,110.919998,111.290001,108.559998,4477100,109.139999
06-07-2010,110.650002,112.529999,109,5219300,110.059998
07-07-2010,109.839996,113.629997,109.809998,4941000,113.43
08-07-2010,115.019997,117.480003,114.07,6775000,116.220001
09-07-2010,116.550003,117.400002,114.650002,4065100,117.260002
12-07-2010,117.809998,119.699997,117.32,4783600,119.510002
13-07-2010,120.690002,124.879997,120.300003,7091100,123.650002
14-07-2010,123.029999,123.75,121.470001,5257000,123.300003
15-07-2010,120.129997,122.480003,119.260002,6047700,122.059998
16-07-2010,121.279999,121.919998,118.010002,6227900,118.489998
19-07-2010,118.379997,120.739998,117,5030900,119.940002
20-07-2010,120.610001,120.709999,117.510002,6785000,120.099998
21-07-2010,120.620003,121.25,117.260002,5011700,117.43
22-07-2010,118.709999,120.870003,118.019997,15003400,120.07
23-07-2010,105.93,119.279999,105.800003,42421100,118.870003
26-07-2010,118.260002,118.599998,114.879997,11137800,118.400002
27-07-2010,118.43,118.5,115.07,7796100,117.129997
28-07-2010,117,118.199997,116.400002,5472300,117.129997
29-07-2010,117.989998,118.870003,115.519997,6175800,116.860001
